task_id,title,description,category,location_name,latitude,longitude,difficulty,estimated_duration,prerequisites,rewards,status,created_at,updated_at,npc_id,course_code
T001,图书馆文献检索,在图书馆完成指定主题的文献检索任务，学习如何使用数据库和检索工具,academic,邵逸夫图书馆,22.3364,114.2654,初级,60,无,学分+2,active,2024-01-15T09:00:00Z,2024-01-15T09:00:00Z,NPC001,CS2402
T002,实验室安全培训,参加实验室安全培训课程，了解实验室操作规范和安全注意事项,activity,工程学院实验室,22.3370,114.2660,初级,90,无,安全证书,active,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z,NPC002,EE3001
T003,学生会招新面试,参加学生会各部门的招新面试，展示个人能力和团队合作精神,social,学生活动中心,22.3358,114.2648,中级,45,无,社团经验,active,2024-01-16T14:00:00Z,2024-01-16T14:00:00Z,NPC003,
T004,校园导览志愿服务,为新生和访客提供校园导览服务，介绍校园历史和各个建筑,activity,校园入口,22.3355,114.2645,初级,120,无,志愿时长+2小时,active,2024-01-17T08:00:00Z,2024-01-17T08:00:00Z,NPC004,
T005,数据结构课程项目,完成数据结构课程的期末项目，实现指定的算法和数据结构,course,计算机科学系,22.3372,114.2662,高级,240,CS1001,学分+5,active,2024-01-18T13:00:00Z,2024-01-18T13:00:00Z,NPC005,CS2402
T006,环保主题摄影比赛,参加校园环保主题摄影比赛，用镜头记录校园的绿色生活,activity,校园各处,22.3360,114.2650,初级,180,无,奖金+证书,active,2024-01-19T15:00:00Z,2024-01-19T15:00:00Z,NPC006,
T007,创业计划书撰写,参加创业大赛，撰写完整的商业计划书并进行路演展示,activity,创新创业中心,22.3365,114.2655,高级,300,无,创业基金,active,2024-01-20T16:00:00Z,2024-01-20T16:00:00Z,NPC007,
T008,体育馆健身打卡,在体育馆完成指定的健身训练计划，保持身体健康,activity,体育馆,22.3368,114.2658,初级,60,无,健康积分,active,2024-01-21T18:00:00Z,2024-01-21T18:00:00Z,NPC008,
T009,国际文化节表演,参加国际文化节的文艺表演，展示不同国家和地区的文化特色,activity,大学会堂,22.3362,114.2652,中级,90,无,文化交流证书,active,2024-01-22T19:00:00Z,2024-01-22T19:00:00Z,NPC009,
T010,电路分析实验,完成电路分析课程的实验项目，验证理论知识并撰写实验报告,course,电子工程实验室,22.3374,114.2664,中级,150,EE2001,学分+3,active,2024-01-23T11:00:00Z,2024-01-23T11:00:00Z,NPC010,EE3001
T011,食堂美食探索,探索校园各个食堂的特色美食，撰写美食评测报告,activity,各食堂,22.3366,114.2656,初级,120,无,美食券,active,2024-01-24T12:00:00Z,2024-01-24T12:00:00Z,NPC011,
T012,学术讲座参与,参加知名学者的学术讲座，拓展学术视野和专业知识,academic,学术报告厅,22.3363,114.2653,初级,90,无,学术积分,active,2024-01-25T14:30:00Z,2024-01-25T14:30:00Z,NPC012,